Serial Number:20440473 --

Date Time - GMT +01:00,"Temp, (*C)","RH, (%)","DewPt, (*C)",EOF,
2018-08-14 11:56:15,1.80,99.98,1.79, ,
2018-08-14 12:56:15,1.93,99.98,1.92, ,
2018-08-14 13:56:15,1.76,99.98,1.75, ,
2018-08-14 14:56:15,1.88,99.98,1.88, ,
2018-08-14 15:56:15,1.84,99.98,1.84, ,
2018-08-14 16:56:15,1.93,99.98,1.92, ,
2018-08-14 17:56:15,1.93,99.98,1.92, ,
2018-08-14 18:56:15,1.76,99.98,1.75, ,
2018-08-14 19:56:15,1.93,99.98,1.92, ,
2018-08-14 20:56:15,1.67,99.98,1.67, ,
2018-08-14 21:56:15,1.50,99.98,1.49, ,
2018-08-14 22:56:15,1.93,99.98,1.92, ,
2018-08-14 23:56:15,1.93,99.98,1.92, ,
2018-08-15 00:56:15,1.67,99.98,1.67, ,
2018-08-15 01:56:15,1.67,99.98,1.67, ,
2018-08-15 02:56:15,1.58,99.98,1.58, ,
2018-08-15 03:56:15,1.50,99.98,1.49, ,
2018-08-15 04:56:15,1.50,99.98,1.49, ,
2018-08-15 05:56:15,1.58,99.98,1.58, ,
2018-08-15 06:56:15,1.63,99.98,1.62, ,
2018-08-15 07:56:15,1.54,99.98,1.54, ,
2018-08-15 08:56:15,1.41,99.98,1.41, ,
2018-08-15 09:56:15,1.46,99.98,1.45, ,
2018-08-15 10:56:15,1.46,99.98,1.45, ,
2018-08-15 11:56:15,1.67,99.98,1.67, ,
2018-08-15 12:56:15,2.06,99.98,2.05, ,
2018-08-15 13:56:15,2.01,99.98,2.01, ,
2018-08-15 14:56:15,2.01,99.98,2.01, ,
2018-08-15 15:56:15,2.01,99.98,2.01, ,
2018-08-15 16:56:15,2.10,99.98,2.09, ,
2018-08-15 17:56:15,1.84,99.98,1.84, ,
2018-08-15 18:56:15,1.76,99.98,1.75, ,
2018-08-15 19:56:15,1.67,99.98,1.67, ,
2018-08-15 20:56:15,1.50,99.98,1.49, ,
2018-08-15 21:56:15,1.33,99.98,1.32, ,
2018-08-15 22:56:15,1.50,99.98,1.49, ,
2018-08-15 23:56:15,1.37,99.98,1.36, ,
2018-08-16 00:56:15,1.37,99.98,1.36, ,
2018-08-16 01:56:15,1.67,99.98,1.67, ,
2018-08-16 02:56:15,1.50,99.98,1.49, ,
2018-08-16 03:56:15,1.37,99.98,1.36, ,
2018-08-16 04:56:15,1.41,99.98,1.41, ,
2018-08-16 05:56:15,1.28,99.98,1.28, ,
2018-08-16 06:56:15,1.24,99.98,1.24, ,
2018-08-16 07:56:15,1.37,99.98,1.36, ,
2018-08-16 08:56:15,1.41,99.98,1.41, ,
2018-08-16 09:56:15,1.46,99.98,1.45, ,
2018-08-16 10:56:15,1.63,99.98,1.62, ,
2018-08-16 11:56:15,1.84,99.98,1.84, ,
2018-08-16 12:56:15,1.93,99.98,1.92, ,
2018-08-16 13:56:15,1.84,99.98,1.84, ,
2018-08-16 14:56:15,1.88,99.98,1.88, ,
2018-08-16 15:56:15,1.88,99.98,1.88, ,
2018-08-16 16:56:15,1.88,99.98,1.88, ,
2018-08-16 17:56:15,1.93,99.98,1.92, ,
2018-08-16 18:56:15,1.93,99.98,1.92, ,
2018-08-16 19:56:15,1.88,99.98,1.88, ,
2018-08-16 20:56:15,1.76,99.98,1.75, ,
2018-08-16 21:56:15,1.63,99.98,1.62, ,
2018-08-16 22:56:15,1.54,99.98,1.54, ,
2018-08-16 23:56:15,1.58,99.98,1.58, ,
2018-08-17 00:56:15,1.58,99.98,1.58, ,
2018-08-17 01:56:15,1.58,99.98,1.58, ,
2018-08-17 02:56:15,1.84,99.98,1.84, ,
2018-08-17 03:56:15,1.67,99.98,1.67, ,
2018-08-17 04:56:15,1.88,99.98,1.88, ,
2018-08-17 05:56:15,1.97,99.98,1.97, ,
2018-08-17 06:56:15,2.01,99.98,2.01, ,
2018-08-17 07:56:15,1.97,99.98,1.97, ,
2018-08-17 08:56:15,1.93,99.98,1.92, ,
2018-08-17 09:56:15,1.97,99.98,1.97, ,
2018-08-17 10:56:15,1.97,99.98,1.97, ,
2018-08-17 11:56:15,1.97,99.98,1.97, ,
2018-08-17 12:56:15,2.01,99.98,2.01, ,
2018-08-17 13:56:15,2.06,99.98,2.05, ,
2018-08-17 14:56:15,2.14,99.98,2.14, ,
2018-08-17 15:56:15,2.14,99.98,2.14, ,
2018-08-17 16:56:15,2.10,99.98,2.09, ,
2018-08-17 17:56:15,2.14,99.98,2.14, ,
2018-08-17 18:56:15,2.14,99.98,2.14, ,
2018-08-17 19:56:15,2.10,99.98,2.09, ,
2018-08-17 20:56:15,2.10,99.98,2.09, ,
2018-08-17 21:56:15,2.01,99.98,2.01, ,
2018-08-17 22:56:15,1.84,99.98,1.84, ,
2018-08-17 23:56:15,2.06,99.98,2.05, ,
2018-08-18 00:56:15,2.06,99.98,2.05, ,
2018-08-18 01:56:15,1.97,99.98,1.97, ,
2018-08-18 02:56:15,2.01,99.98,2.01, ,
2018-08-18 03:56:15,1.93,99.98,1.92, ,
2018-08-18 04:56:15,1.93,99.98,1.92, ,
2018-08-18 05:56:15,1.93,99.98,1.92, ,
2018-08-18 06:56:15,2.01,99.98,2.01, ,
2018-08-18 07:56:15,1.93,99.98,1.92, ,
2018-08-18 08:56:15,1.88,99.98,1.88, ,
2018-08-18 09:56:15,1.76,99.98,1.75, ,
2018-08-18 10:56:15,1.67,99.98,1.67, ,
2018-08-18 11:56:15,1.88,99.98,1.88, ,
2018-08-18 12:56:15,2.14,99.98,2.14, ,
2018-08-18 13:56:15,2.06,99.98,2.05, ,
2018-08-18 14:56:15,2.06,99.98,2.05, ,
2018-08-18 15:56:15,2.06,99.98,2.05, ,
2018-08-18 16:56:15,2.10,99.98,2.09, ,
2018-08-18 17:56:15,2.14,99.98,2.14, ,
2018-08-18 18:56:15,2.19,99.98,2.18, ,
2018-08-18 19:56:15,2.10,99.98,2.09, ,
2018-08-18 20:56:15,1.93,99.98,1.92, ,
2018-08-18 21:56:15,1.76,99.98,1.75, ,
2018-08-18 22:56:15,1.97,99.98,1.97, ,
2018-08-18 23:56:15,2.06,99.98,2.05, ,
2018-08-19 00:56:15,1.93,99.98,1.92, ,
2018-08-19 01:56:15,1.97,99.98,1.97, ,
2018-08-19 02:56:15,1.84,99.98,1.84, ,
2018-08-19 03:56:15,1.71,99.98,1.71, ,
2018-08-19 04:56:15,1.58,99.98,1.58, ,
2018-08-19 05:56:15,1.63,99.98,1.62, ,
2018-08-19 06:56:15,1.37,99.98,1.36, ,
2018-08-19 07:56:15,1.50,99.98,1.49, ,
2018-08-19 08:56:15,1.54,99.98,1.54, ,
2018-08-19 09:56:15,1.84,99.98,1.84, ,
2018-08-19 10:56:15,1.84,99.98,1.84, ,
2018-08-19 11:56:15,2.19,99.98,2.18, ,
2018-08-19 12:56:15,2.19,99.98,2.18, ,
2018-08-19 13:56:15,2.31,99.98,2.31, ,
2018-08-19 14:56:15,2.36,99.98,2.35, ,
2018-08-19 15:56:15,2.19,99.98,2.18, ,
2018-08-19 16:56:15,1.97,99.98,1.97, ,
2018-08-19 17:56:15,1.80,99.98,1.79, ,
2018-08-19 18:56:15,1.80,99.98,1.79, ,
2018-08-19 19:56:15,1.84,99.98,1.84, ,
2018-08-19 20:56:15,1.84,99.98,1.84, ,
2018-08-19 21:56:15,1.88,99.98,1.88, ,
2018-08-19 22:56:15,1.93,99.98,1.92, ,
2018-08-19 23:56:15,1.84,99.98,1.84, ,
2018-08-20 00:56:15,1.88,99.98,1.88, ,
2018-08-20 01:56:15,1.88,99.98,1.88, ,
2018-08-20 02:56:15,1.71,99.98,1.71, ,
2018-08-20 03:56:15,1.80,99.98,1.79, ,
2018-08-20 04:56:15,1.80,99.98,1.79, ,
2018-08-20 05:56:15,1.80,99.98,1.79, ,
2018-08-20 06:56:15,1.84,99.98,1.84, ,
2018-08-20 07:56:15,1.80,99.98,1.79, ,
2018-08-20 08:56:15,2.01,99.98,2.01, ,
2018-08-20 09:56:15,2.06,99.98,2.05, ,
2018-08-20 10:56:15,2.14,99.98,2.14, ,
2018-08-20 11:56:15,2.06,99.98,2.05, ,
2018-08-20 12:56:15,2.23,99.98,2.22, ,
2018-08-20 13:56:15,2.27,99.98,2.27, ,
2018-08-20 14:56:15,2.31,99.98,2.31, ,
2018-08-20 15:56:15,2.36,99.98,2.35, ,
2018-08-20 16:56:15,2.36,99.98,2.35, ,
2018-08-20 17:56:15,2.27,99.98,2.27, ,
2018-08-20 18:56:15,2.19,99.98,2.18, ,
2018-08-20 19:56:15,2.06,99.98,2.05, ,
2018-08-20 20:56:15,2.36,99.98,2.35, ,
2018-08-20 21:56:15,2.36,99.98,2.35, ,
2018-08-20 22:56:15,2.27,99.98,2.27, ,
2018-08-20 23:56:15,2.14,99.98,2.14, ,
2018-08-21 00:56:15,2.01,99.98,2.01, ,
2018-08-21 01:56:15,2.06,99.98,2.05, ,
2018-08-21 02:56:15,2.01,99.98,2.01, ,
2018-08-21 03:56:15,2.19,99.98,2.18, ,
2018-08-21 04:56:15,2.06,99.98,2.05, ,
2018-08-21 05:56:15,1.80,99.98,1.79, ,
2018-08-21 06:56:15,1.97,99.98,1.97, ,
2018-08-21 07:56:15,1.84,99.98,1.84, ,
2018-08-21 08:56:15,1.84,99.98,1.84, ,
2018-08-21 09:56:15,1.84,99.98,1.84, ,
2018-08-21 10:56:15,2.01,99.98,2.01, ,
2018-08-21 11:56:15,2.31,99.98,2.31, ,
2018-08-21 12:56:15,2.36,99.98,2.35, ,
2018-08-21 13:56:15,2.27,99.98,2.27, ,
2018-08-21 14:56:15,2.31,99.98,2.31, ,
2018-08-21 15:56:15,2.36,99.98,2.35, ,
2018-08-21 16:56:15,2.31,99.98,2.31, ,
2018-08-21 17:56:15,2.31,99.98,2.31, ,
2018-08-21 18:56:15,2.36,99.98,2.35, ,
2018-08-21 19:56:15,2.36,99.98,2.35, ,
2018-08-21 20:56:15,2.23,99.98,2.22, ,
2018-08-21 21:56:15,2.10,99.98,2.09, ,
2018-08-21 22:56:15,2.14,99.98,2.14, ,
2018-08-21 23:56:15,1.97,99.98,1.97, ,
2018-08-22 00:56:15,1.97,99.98,1.97, ,
2018-08-22 01:56:15,1.93,99.98,1.92, ,
2018-08-22 02:56:15,1.88,99.98,1.88, ,
2018-08-22 03:56:15,1.93,99.98,1.92, ,
2018-08-22 04:56:15,1.88,99.98,1.88, ,
2018-08-22 05:56:15,1.84,99.98,1.84, ,
2018-08-22 06:56:15,1.88,99.98,1.88, ,
2018-08-22 07:56:15,1.84,99.98,1.84, ,
2018-08-22 08:56:15,1.88,99.98,1.88, ,
2018-08-22 09:56:15,2.01,99.98,2.01, ,
2018-08-22 10:56:15,2.10,99.98,2.09, ,
2018-08-22 11:56:15,2.10,99.98,2.09, ,
2018-08-22 12:56:15,2.23,99.98,2.22, ,
2018-08-22 13:56:15,2.23,99.98,2.22, ,
2018-08-22 14:56:15,2.27,99.98,2.27, ,
2018-08-22 15:56:15,2.36,99.98,2.35, ,
2018-08-22 16:56:15,2.36,99.98,2.35, ,
2018-08-22 17:56:15,2.36,99.98,2.35, ,
2018-08-22 18:56:15,2.40,99.98,2.40, ,
2018-08-22 19:56:15,2.36,99.98,2.35, ,
2018-08-22 20:56:15,2.31,99.98,2.31, ,
2018-08-22 21:56:15,2.19,99.98,2.18, ,
2018-08-22 22:56:15,2.19,99.98,2.18, ,
2018-08-22 23:56:15,2.10,99.98,2.09, ,
2018-08-23 00:56:15,2.19,99.98,2.18, ,
2018-08-23 01:56:15,2.19,99.98,2.18, ,
2018-08-23 02:56:15,2.19,99.98,2.18, ,
2018-08-23 03:56:15,2.19,99.98,2.18, ,
2018-08-23 04:56:15,2.06,99.98,2.05, ,
2018-08-23 05:56:15,2.27,99.98,2.27, ,
2018-08-23 06:56:15,2.27,99.98,2.27, ,
2018-08-23 07:56:15,2.14,99.98,2.14, ,
2018-08-23 08:56:15,2.06,99.98,2.05, ,
2018-08-23 09:56:15,2.19,99.98,2.18, ,
2018-08-23 10:56:15,2.31,99.98,2.31, ,
2018-08-23 11:56:15,2.31,99.98,2.31, ,
2018-08-23 12:56:15,2.36,99.98,2.35, ,
2018-08-23 13:56:15,2.31,99.98,2.31, ,
2018-08-23 14:56:15,2.31,99.98,2.31, ,
2018-08-23 15:56:15,2.36,99.98,2.35, ,
2018-08-23 16:56:15,2.36,99.98,2.35, ,
2018-08-23 17:56:15,2.31,99.98,2.31, ,
2018-08-23 18:56:15,2.36,99.98,2.35, ,
2018-08-23 19:56:15,2.27,99.98,2.27, ,
2018-08-23 20:56:15,2.36,99.98,2.35, ,
2018-08-23 21:56:15,2.23,99.98,2.22, ,
2018-08-23 22:56:15,2.23,99.98,2.22, ,
2018-08-23 23:56:15,2.23,99.98,2.22, ,
2018-08-24 00:56:15,2.19,99.98,2.18, ,
2018-08-24 01:56:15,2.23,99.98,2.22, ,
2018-08-24 02:56:15,2.19,99.98,2.18, ,
2018-08-24 03:56:15,2.14,99.98,2.14, ,
2018-08-24 04:56:15,2.14,99.98,2.14, ,
2018-08-24 05:56:15,2.10,99.98,2.09, ,
2018-08-24 06:56:15,2.14,99.98,2.14, ,
2018-08-24 07:56:15,2.19,99.98,2.18, ,
2018-08-24 08:56:15,2.27,99.98,2.27, ,
2018-08-24 09:56:15,2.27,99.98,2.27, ,
2018-08-24 10:56:15,2.36,99.98,2.35, ,
2018-08-24 11:56:15,2.31,99.98,2.31, ,
2018-08-24 12:56:15,2.27,99.98,2.27, ,
2018-08-24 13:56:15,2.23,99.98,2.22, ,
2018-08-24 14:56:15,2.27,99.98,2.27, ,
2018-08-24 15:56:15,2.23,99.98,2.22, ,
2018-08-24 16:56:15,2.19,99.98,2.18, ,
2018-08-24 17:56:15,2.19,99.98,2.18, ,
2018-08-24 18:56:15,2.27,99.98,2.27, ,
2018-08-24 19:56:15,2.06,99.98,2.05, ,
2018-08-24 20:56:15,2.10,99.98,2.09, ,
2018-08-24 21:56:15,2.10,99.98,2.09, ,
2018-08-24 22:56:15,2.19,99.98,2.18, ,
2018-08-24 23:56:15,2.14,99.98,2.14, ,
2018-08-25 00:56:15,1.93,99.98,1.92, ,
2018-08-25 01:56:15,2.06,99.98,2.05, ,
2018-08-25 02:56:15,2.14,99.98,2.14, ,
2018-08-25 03:56:15,2.19,99.98,2.18, ,
2018-08-25 04:56:15,2.19,99.98,2.18, ,
2018-08-25 05:56:15,2.23,99.98,2.22, ,
2018-08-25 06:56:15,2.14,99.98,2.14, ,
2018-08-25 07:56:15,2.06,99.98,2.05, ,
2018-08-25 08:56:15,2.06,99.98,2.05, ,
2018-08-25 09:56:15,2.10,99.98,2.09, ,
2018-08-25 10:56:15,1.97,99.98,1.97, ,
2018-08-25 11:56:15,1.97,99.98,1.97, ,
2018-08-25 12:56:15,2.06,99.98,2.05, ,
2018-08-25 13:56:15,2.06,99.98,2.05, ,
2018-08-25 14:56:15,2.06,99.98,2.05, ,
2018-08-25 15:56:15,2.06,99.98,2.05, ,
2018-08-25 16:56:15,2.10,99.98,2.09, ,
2018-08-25 17:56:15,2.06,99.98,2.05, ,
2018-08-25 18:56:15,2.14,99.98,2.14, ,
2018-08-25 19:56:15,2.06,99.98,2.05, ,
2018-08-25 20:56:15,2.01,99.98,2.01, ,
2018-08-25 21:56:15,2.31,99.98,2.31, ,
2018-08-25 22:56:15,2.53,99.98,2.52, ,
2018-08-25 23:56:15,2.14,99.98,2.14, ,
2018-08-26 00:56:15,1.67,99.98,1.67, ,
2018-08-26 01:56:15,1.63,99.98,1.62, ,
2018-08-26 02:56:15,1.58,99.98,1.58, ,
2018-08-26 03:56:15,1.41,99.98,1.41, ,
2018-08-26 04:56:15,1.41,99.98,1.41, ,
2018-08-26 05:56:15,1.33,99.98,1.32, ,
2018-08-26 06:56:15,1.28,99.98,1.28, ,
2018-08-26 07:56:15,1.16,99.98,1.15, ,
2018-08-26 08:56:15,1.16,99.98,1.15, ,
2018-08-26 09:56:15,1.16,99.98,1.15, ,
2018-08-26 10:56:15,1.11,99.98,1.11, ,
2018-08-26 11:56:15,1.11,99.98,1.11, ,
2018-08-26 12:56:15,1.11,99.98,1.11, ,
2018-08-26 13:56:15,1.07,99.98,1.06, ,
2018-08-26 14:56:15,1.03,99.98,1.02, ,
2018-08-26 15:56:15,1.16,99.98,1.15, ,
2018-08-26 16:56:15,1.07,99.98,1.06, ,
2018-08-26 17:56:15,1.11,99.98,1.11, ,
2018-08-26 18:56:15,1.07,99.98,1.06, ,
2018-08-26 19:56:15,1.24,99.98,1.24, ,
2018-08-26 20:56:15,1.24,99.98,1.24, ,
2018-08-26 21:56:15,1.24,99.98,1.24, ,
2018-08-26 22:56:15,1.28,99.98,1.28, ,
2018-08-26 23:56:15,1.16,99.98,1.15, ,
2018-08-27 00:56:15,1.16,99.98,1.15, ,
2018-08-27 01:56:15,1.20,99.98,1.19, ,
2018-08-27 02:56:15,1.41,99.98,1.41, ,
2018-08-27 03:56:15,1.46,99.98,1.45, ,
2018-08-27 04:56:15,1.58,99.98,1.58, ,
2018-08-27 05:56:15,1.80,99.98,1.79, ,
2018-08-27 06:56:15,1.84,99.98,1.84, ,
2018-08-27 07:56:15,1.67,99.98,1.67, ,
2018-08-27 08:56:15,1.67,99.98,1.67, ,
2018-08-27 09:56:15,1.58,99.98,1.58, ,
2018-08-27 10:56:15,1.63,99.98,1.62, ,
2018-08-27 11:56:15,1.67,99.98,1.67, ,
2018-08-27 12:56:15,1.80,99.98,1.79, ,
2018-08-27 13:56:15,1.84,99.98,1.84, ,
2018-08-27 14:56:15,2.01,99.98,2.01, ,
2018-08-27 15:56:15,2.10,99.98,2.09, ,
2018-08-27 16:56:15,2.19,99.98,2.18, ,
2018-08-27 17:56:15,2.10,99.98,2.09, ,
2018-08-27 18:56:15,2.23,99.98,2.22, ,
2018-08-27 19:56:15,2.27,99.98,2.27, ,
2018-08-27 20:56:15,2.23,99.98,2.22, ,
2018-08-27 21:56:15,2.36,99.98,2.35, ,
2018-08-27 22:56:15,2.49,99.98,2.48, ,
2018-08-27 23:56:15,2.40,99.98,2.40, ,
2018-08-28 00:56:15,2.31,99.98,2.31, ,
2018-08-28 01:56:15,2.49,99.98,2.48, ,
2018-08-28 02:56:15,2.44,99.98,2.44, ,
2018-08-28 03:56:15,2.27,99.98,2.27, ,
2018-08-28 04:56:15,2.36,99.98,2.35, ,
2018-08-28 05:56:15,2.14,99.98,2.14, ,
2018-08-28 06:56:15,2.06,99.98,2.05, ,
2018-08-28 07:56:15,2.01,99.98,2.01, ,
2018-08-28 08:56:15,2.06,99.98,2.05, ,
2018-08-28 09:56:15,2.06,99.98,2.05, ,
2018-08-28 10:56:15,2.31,99.98,2.31, ,
2018-08-28 11:56:15,2.36,99.98,2.35, ,
2018-08-28 12:56:15,2.44,99.98,2.44, ,
2018-08-28 13:56:15,2.49,99.98,2.48, ,
2018-08-28 14:56:15,2.49,99.98,2.48, ,
2018-08-28 15:56:15,2.57,99.98,2.57, ,
2018-08-28 16:56:15,2.57,99.98,2.57, ,
2018-08-28 17:56:15,2.53,99.98,2.52, ,
2018-08-28 18:56:15,2.40,99.98,2.40, ,
2018-08-28 19:56:15,2.40,99.98,2.40, ,
2018-08-28 20:56:15,2.36,99.98,2.35, ,
2018-08-28 21:56:15,2.31,99.98,2.31, ,
2018-08-28 22:56:15,2.40,99.98,2.40, ,
2018-08-28 23:56:15,2.23,99.98,2.22, ,
