Serial Number:20440475 --

Date Time - GMT +01:00,"Temp, (*C)","RH, (%)","DewPt, (*C)",Host Connect,EOF,
2018-08-09 22:56:58,0.43,98.66,0.24, , ,
2018-08-09 23:56:58,0.43,98.66,0.24, , ,
2018-08-10 00:56:58,0.47,99.00,0.33, , ,
2018-08-10 01:56:58,0.47,99.06,0.33, , ,
2018-08-10 02:56:58,0.47,99.06,0.33, , ,
2018-08-10 03:56:58,0.43,98.98,0.28, , ,
2018-08-10 04:56:58,0.47,99.06,0.33, , ,
2018-08-10 05:56:58,0.47,99.00,0.33, , ,
2018-08-10 06:56:58,0.47,99.37,0.38, , ,
2018-08-10 07:56:58,0.47,99.37,0.38, , ,
2018-08-10 08:56:58,0.47,99.37,0.38, , ,
2018-08-10 09:56:58,0.47,99.43,0.39, , ,
2018-08-10 10:56:58,0.51,99.43,0.43, , ,
2018-08-10 11:56:58,0.47,99.43,0.39, , ,
2018-08-10 12:56:58,0.47,99.37,0.38, , ,
2018-08-10 13:56:58,0.47,99.43,0.39, , ,
2018-08-10 14:56:58,0.51,99.40,0.42, , ,
2018-08-10 15:56:58,0.51,99.77,0.48, , ,
2018-08-10 16:56:58,0.51,99.77,0.48, , ,
2018-08-10 17:56:58,0.51,99.82,0.48, , ,
2018-08-10 18:56:58,0.47,99.80,0.44, , ,
2018-08-10 19:56:58,0.47,99.74,0.43, , ,
2018-08-10 20:56:58,0.43,99.80,0.39, , ,
2018-08-10 21:56:58,0.47,99.74,0.43, , ,
2018-08-10 22:56:58,0.47,99.74,0.43, , ,
2018-08-10 23:56:58,0.43,99.80,0.39, , ,
2018-08-11 00:56:58,0.43,99.98,0.42, , ,
2018-08-11 01:56:58,0.34,99.98,0.33, , ,
2018-08-11 02:56:58,0.43,99.98,0.42, , ,
2018-08-11 03:56:58,0.38,99.98,0.38, , ,
2018-08-11 04:56:58,0.43,99.98,0.42, , ,
2018-08-11 05:56:58,0.43,99.98,0.42, , ,
2018-08-11 06:56:58,0.38,99.98,0.38, , ,
2018-08-11 07:56:58,0.43,99.98,0.42, , ,
2018-08-11 08:56:58,0.30,99.98,0.29, , ,
2018-08-11 09:56:58,0.25,99.98,0.25, , ,
2018-08-11 10:56:58,0.38,99.98,0.38, , ,
2018-08-11 11:56:58,0.43,99.98,0.42, , ,
2018-08-11 12:56:58,0.43,99.98,0.42, , ,
2018-08-11 13:56:58,0.43,99.98,0.42, , ,
2018-08-11 14:56:58,0.47,99.98,0.46, , ,
2018-08-11 15:56:58,0.47,99.98,0.46, , ,
2018-08-11 16:56:58,0.38,99.98,0.38, , ,
2018-08-11 17:56:58,0.30,99.98,0.29, , ,
2018-08-11 18:56:58,0.21,99.98,0.20, , ,
2018-08-11 19:56:58,0.21,99.98,0.20, , ,
2018-08-11 20:56:58,0.17,99.98,0.16, , ,
2018-08-11 21:56:58,0.21,99.98,0.20, , ,
2018-08-11 22:56:58,0.17,99.98,0.16, , ,
2018-08-11 23:56:58,0.25,99.98,0.25, , ,
2018-08-12 00:56:58,0.21,99.98,0.20, , ,
2018-08-12 01:56:58,0.17,99.98,0.16, , ,
2018-08-12 02:56:58,0.17,99.98,0.16, , ,
2018-08-12 03:56:58,0.21,99.98,0.20, , ,
2018-08-12 04:56:58,0.25,99.98,0.25, , ,
2018-08-12 05:56:58,0.34,99.98,0.33, , ,
2018-08-12 06:56:58,0.25,99.98,0.25, , ,
2018-08-12 07:56:58,0.08,99.98,0.08, , ,
2018-08-12 08:56:58,0.13,99.98,0.12, , ,
2018-08-12 09:56:58,0.13,99.98,0.12, , ,
2018-08-12 10:56:58,0.21,99.98,0.20, , ,
2018-08-12 11:56:58,0.30,99.98,0.29, , ,
2018-08-12 12:56:58,0.38,99.98,0.38, , ,
2018-08-12 13:56:58,0.43,99.98,0.42, , ,
2018-08-12 14:56:58,0.47,99.98,0.46, , ,
2018-08-12 15:56:58,0.43,99.98,0.42, , ,
2018-08-12 16:56:58,0.43,99.98,0.42, , ,
2018-08-12 17:56:58,0.43,99.98,0.42, , ,
2018-08-12 18:56:58,0.43,99.98,0.42, , ,
2018-08-12 19:56:58,0.43,99.98,0.42, , ,
2018-08-12 20:56:58,0.43,99.98,0.42, , ,
2018-08-12 21:56:58,0.43,99.98,0.42, , ,
2018-08-12 22:56:58,0.38,99.98,0.38, , ,
2018-08-12 23:56:58,0.38,99.98,0.38, , ,
2018-08-13 00:56:58,0.38,99.98,0.38, , ,
2018-08-13 01:56:58,0.38,99.98,0.38, , ,
2018-08-13 02:56:58,0.34,99.98,0.33, , ,
2018-08-13 03:56:58,0.34,99.98,0.33, , ,
2018-08-13 04:56:58,0.43,99.98,0.42, , ,
2018-08-13 05:56:58,0.38,99.98,0.38, , ,
2018-08-13 06:56:58,0.38,99.98,0.38, , ,
2018-08-13 07:56:58,0.43,99.98,0.42, , ,
2018-08-13 08:56:58,0.47,99.98,0.46, , ,
2018-08-13 09:56:58,0.43,99.98,0.42, , ,
2018-08-13 10:56:58,0.43,99.98,0.42, , ,
2018-08-13 11:56:58,0.43,99.98,0.42, , ,
2018-08-13 12:56:58,0.43,99.98,0.42, , ,
2018-08-13 13:56:58,0.43,99.98,0.42, , ,
2018-08-13 14:56:58,0.38,99.98,0.38, , ,
2018-08-13 15:56:58,0.43,99.98,0.42, , ,
2018-08-13 16:56:58,0.43,99.98,0.42, , ,
2018-08-13 17:56:58,0.47,99.98,0.46, , ,
2018-08-13 18:56:58,0.38,99.98,0.38, , ,
2018-08-13 19:56:58,0.38,99.98,0.38, , ,
2018-08-13 20:56:58,0.43,99.98,0.42, , ,
2018-08-13 21:56:58,0.38,99.98,0.38, , ,
2018-08-13 22:56:58,0.30,99.98,0.29, , ,
2018-08-13 23:56:58,0.34,99.98,0.33, , ,
2018-08-14 00:56:58,0.38,99.98,0.38, , ,
2018-08-14 01:56:58,0.38,99.98,0.38, , ,
2018-08-14 02:56:58,0.43,99.98,0.42, , ,
2018-08-14 03:56:58,0.47,99.98,0.46, , ,
2018-08-14 04:56:58,0.25,99.98,0.25, , ,
2018-08-14 05:56:58,0.21,99.98,0.20, , ,
2018-08-14 06:56:58,0.25,99.98,0.25, , ,
2018-08-14 07:56:58,0.30,99.98,0.29, , ,
2018-08-14 08:56:58,0.34,99.98,0.33, , ,
2018-08-14 09:56:58,0.34,99.98,0.33, , ,
2018-08-14 10:56:58,0.30,99.98,0.29, , ,
2018-08-14 11:56:58,0.38,99.98,0.38, , ,
2018-08-14 12:56:58,0.38,99.98,0.38, , ,
2018-08-14 13:56:58,0.34,99.98,0.33, , ,
2018-08-14 14:56:58,0.38,99.98,0.38, , ,
2018-08-14 15:56:58,0.34,99.98,0.33, , ,
2018-08-14 16:56:58,0.34,99.98,0.33, , ,
2018-08-14 17:56:58,0.30,99.98,0.29, , ,
2018-08-14 18:56:58,0.25,99.98,0.25, , ,
2018-08-14 19:56:58,0.34,99.98,0.33, , ,
2018-08-14 20:56:58,0.25,99.98,0.25, , ,
2018-08-14 21:56:58,0.21,99.98,0.20, , ,
2018-08-14 22:56:58,0.34,99.98,0.33, , ,
2018-08-14 23:56:58,0.34,99.98,0.33, , ,
2018-08-15 00:56:58,0.21,99.98,0.20, , ,
2018-08-15 01:56:58,0.21,99.98,0.20, , ,
2018-08-15 02:56:58,0.17,99.98,0.16, , ,
2018-08-15 03:56:58,0.17,99.98,0.16, , ,
2018-08-15 04:56:58,0.17,99.98,0.16, , ,
2018-08-15 05:56:58,0.21,99.98,0.20, , ,
2018-08-15 06:56:58,0.17,99.98,0.16, , ,
2018-08-15 07:56:58,0.21,99.98,0.20, , ,
2018-08-15 08:56:58,0.17,99.98,0.16, , ,
2018-08-15 09:56:58,0.17,99.98,0.16, , ,
2018-08-15 10:56:58,0.21,99.98,0.20, , ,
2018-08-15 11:56:58,0.21,99.98,0.20, , ,
2018-08-15 12:56:58,0.43,99.98,0.42, , ,
2018-08-15 13:56:58,0.38,99.98,0.38, , ,
2018-08-15 14:56:58,0.34,99.98,0.33, , ,
2018-08-15 15:56:58,0.43,99.98,0.42, , ,
2018-08-15 16:56:58,0.38,99.98,0.38, , ,
2018-08-15 17:56:58,0.30,99.98,0.29, , ,
2018-08-15 18:56:58,0.25,99.98,0.25, , ,
2018-08-15 19:56:58,0.25,99.98,0.25, , ,
2018-08-15 20:56:58,0.21,99.98,0.20, , ,
2018-08-15 21:56:58,0.21,99.98,0.20, , ,
2018-08-15 22:56:58,0.13,99.98,0.12, , ,
2018-08-15 23:56:58,0.17,99.98,0.16, , ,
2018-08-16 00:56:58,0.13,99.98,0.12, , ,
2018-08-16 01:56:58,0.21,99.98,0.20, , ,
2018-08-16 02:56:58,0.17,99.98,0.16, , ,
2018-08-16 03:56:58,0.21,99.98,0.20, , ,
2018-08-16 04:56:58,0.17,99.98,0.16, , ,
2018-08-16 05:56:58,0.17,99.98,0.16, , ,
2018-08-16 06:56:58,0.21,99.98,0.20, , ,
2018-08-16 07:56:58,0.21,99.98,0.20, , ,
2018-08-16 08:56:58,0.21,99.98,0.20, , ,
2018-08-16 09:56:58,0.21,99.98,0.20, , ,
2018-08-16 10:56:58,0.17,99.98,0.16, , ,
2018-08-16 11:56:58,0.34,99.98,0.33, , ,
2018-08-16 12:56:58,0.38,99.98,0.38, , ,
2018-08-16 13:56:58,0.38,99.98,0.38, , ,
2018-08-16 14:56:58,0.43,99.98,0.42, , ,
2018-08-16 15:56:58,0.38,99.98,0.38, , ,
2018-08-16 16:56:58,0.43,99.98,0.42, , ,
2018-08-16 17:56:58,0.43,99.98,0.42, , ,
2018-08-16 18:56:58,0.38,99.98,0.38, , ,
2018-08-16 19:56:58,0.34,99.98,0.33, , ,
2018-08-16 20:56:58,0.21,99.98,0.20, , ,
2018-08-16 21:56:58,0.17,99.98,0.16, , ,
2018-08-16 22:56:58,0.17,99.98,0.16, , ,
2018-08-16 23:56:58,0.13,99.98,0.12, , ,
2018-08-17 00:56:58,0.17,99.98,0.16, , ,
2018-08-17 01:56:58,0.17,99.98,0.16, , ,
2018-08-17 02:56:58,0.25,99.98,0.25, , ,
2018-08-17 03:56:58,0.21,99.98,0.20, , ,
2018-08-17 04:56:58,0.38,99.98,0.38, , ,
2018-08-17 05:56:58,0.43,99.98,0.42, , ,
2018-08-17 06:56:58,0.43,99.98,0.42, , ,
2018-08-17 07:56:58,0.43,99.98,0.42, , ,
2018-08-17 08:56:58,0.38,99.98,0.38, , ,
2018-08-17 09:56:58,0.38,99.98,0.38, , ,
2018-08-17 10:56:58,0.43,99.98,0.42, , ,
2018-08-17 11:56:58,0.38,99.98,0.38, , ,
2018-08-17 12:56:58,0.47,99.98,0.46, , ,
2018-08-17 13:56:58,0.51,99.98,0.51, , ,
2018-08-17 14:56:58,0.51,99.98,0.51, , ,
2018-08-17 15:56:58,0.51,99.98,0.51, , ,
2018-08-17 16:56:58,0.47,99.98,0.46, , ,
2018-08-17 17:56:58,0.47,99.98,0.46, , ,
2018-08-17 18:56:58,0.51,99.98,0.51, , ,
2018-08-17 19:56:58,0.51,99.98,0.51, , ,
2018-08-17 20:56:58,0.51,99.98,0.51, , ,
2018-08-17 21:56:58,0.43,99.98,0.42, , ,
2018-08-17 22:56:58,0.34,99.98,0.33, , ,
2018-08-17 23:56:58,0.47,99.98,0.46, , ,
2018-08-18 00:56:58,0.47,99.98,0.46, , ,
2018-08-18 01:56:58,0.38,99.98,0.38, , ,
2018-08-18 02:56:58,0.43,99.98,0.42, , ,
2018-08-18 03:56:58,0.34,99.98,0.33, , ,
2018-08-18 04:56:58,0.38,99.98,0.38, , ,
2018-08-18 05:56:58,0.38,99.98,0.38, , ,
2018-08-18 06:56:58,0.43,99.98,0.42, , ,
2018-08-18 07:56:58,0.43,99.98,0.42, , ,
2018-08-18 08:56:58,0.30,99.98,0.29, , ,
2018-08-18 09:56:58,0.25,99.98,0.25, , ,
2018-08-18 10:56:58,0.21,99.98,0.20, , ,
2018-08-18 11:56:58,0.34,99.98,0.33, , ,
2018-08-18 12:56:58,0.47,99.98,0.46, , ,
2018-08-18 13:56:58,0.43,99.98,0.42, , ,
2018-08-18 14:56:58,0.47,99.98,0.46, , ,
2018-08-18 15:56:58,0.47,99.98,0.46, , ,
2018-08-18 16:56:58,0.47,99.98,0.46, , ,
2018-08-18 17:56:58,0.43,99.98,0.42, , ,
2018-08-18 18:56:58,0.47,99.98,0.46, , ,
2018-08-18 19:56:58,0.47,99.98,0.46, , ,
2018-08-18 20:56:58,0.38,99.98,0.38, , ,
2018-08-18 21:56:58,0.25,99.98,0.25, , ,
2018-08-18 22:56:58,0.43,99.98,0.42, , ,
2018-08-18 23:56:58,0.38,99.98,0.38, , ,
2018-08-19 00:56:58,0.34,99.98,0.33, , ,
2018-08-19 01:56:58,0.34,99.98,0.33, , ,
2018-08-19 02:56:58,0.25,99.98,0.25, , ,
2018-08-19 03:56:58,0.25,99.98,0.25, , ,
2018-08-19 04:56:58,0.25,99.98,0.25, , ,
2018-08-19 05:56:58,0.30,99.98,0.29, , ,
2018-08-19 06:56:58,0.17,99.98,0.16, , ,
2018-08-19 07:56:58,0.17,99.98,0.16, , ,
2018-08-19 08:56:58,0.21,99.98,0.20, , ,
2018-08-19 09:56:58,0.25,99.98,0.25, , ,
2018-08-19 10:56:58,0.25,99.98,0.25, , ,
2018-08-19 11:56:58,0.38,99.98,0.38, , ,
2018-08-19 12:56:58,0.43,99.98,0.42, , ,
2018-08-19 13:56:58,0.55,99.98,0.55, , ,
2018-08-19 14:56:58,0.55,99.98,0.55, , ,
2018-08-19 15:56:58,0.51,99.98,0.51, , ,
2018-08-19 16:56:58,0.34,99.98,0.33, , ,
2018-08-19 17:56:58,0.34,99.98,0.33, , ,
2018-08-19 18:56:58,0.30,99.98,0.29, , ,
2018-08-19 19:56:58,0.34,99.98,0.33, , ,
2018-08-19 20:56:58,0.34,99.98,0.33, , ,
2018-08-19 21:56:58,0.38,99.98,0.38, , ,
2018-08-19 22:56:58,0.38,99.98,0.38, , ,
2018-08-19 23:56:58,0.34,99.98,0.33, , ,
2018-08-20 00:56:58,0.34,99.98,0.33, , ,
2018-08-20 01:56:58,0.34,99.98,0.33, , ,
2018-08-20 02:56:58,0.30,99.98,0.29, , ,
2018-08-20 03:56:58,0.30,99.98,0.29, , ,
2018-08-20 04:56:58,0.30,99.98,0.29, , ,
2018-08-20 05:56:58,0.25,99.98,0.25, , ,
2018-08-20 06:56:58,0.25,99.98,0.25, , ,
2018-08-20 07:56:58,0.34,99.98,0.33, , ,
2018-08-20 08:56:58,0.43,99.98,0.42, , ,
2018-08-20 09:56:58,0.34,99.98,0.33, , ,
2018-08-20 10:56:58,0.38,99.98,0.38, , ,
2018-08-20 11:56:58,0.38,99.98,0.38, , ,
2018-08-20 12:56:58,0.51,99.98,0.51, , ,
2018-08-20 13:56:58,0.51,99.98,0.51, , ,
2018-08-20 14:56:58,0.60,99.98,0.59, , ,
2018-08-20 15:56:58,0.55,99.98,0.55, , ,
2018-08-20 16:56:58,0.60,99.98,0.59, , ,
2018-08-20 17:56:58,0.51,99.98,0.51, , ,
2018-08-20 18:56:58,0.51,99.98,0.51, , ,
2018-08-20 19:56:58,0.38,99.98,0.38, , ,
2018-08-20 20:56:58,0.51,99.98,0.51, , ,
2018-08-20 21:56:58,0.47,99.98,0.46, , ,
2018-08-20 22:56:58,0.47,99.98,0.46, , ,
2018-08-20 23:56:58,0.38,99.98,0.38, , ,
2018-08-21 00:56:58,0.34,99.98,0.33, , ,
2018-08-21 01:56:58,0.43,99.98,0.42, , ,
2018-08-21 02:56:58,0.34,99.98,0.33, , ,
2018-08-21 03:56:58,0.43,99.98,0.42, , ,
2018-08-21 04:56:58,0.38,99.98,0.38, , ,
2018-08-21 05:56:58,0.30,99.98,0.29, , ,
2018-08-21 06:56:58,0.34,99.98,0.33, , ,
2018-08-21 07:56:58,0.30,99.98,0.29, , ,
2018-08-21 08:56:58,0.30,99.98,0.29, , ,
2018-08-21 09:56:58,0.30,99.98,0.29, , ,
2018-08-21 10:56:58,0.34,99.98,0.33, , ,
2018-08-21 11:56:58,0.47,99.98,0.46, , ,
2018-08-21 12:56:58,0.55,99.98,0.55, , ,
2018-08-21 13:56:58,0.60,99.98,0.59, , ,
2018-08-21 14:56:58,0.51,99.98,0.51, , ,
2018-08-21 15:56:58,0.55,99.98,0.55, , ,
2018-08-21 16:56:58,0.55,99.98,0.55, , ,
2018-08-21 17:56:58,0.60,99.98,0.59, , ,
2018-08-21 18:56:58,0.55,99.98,0.55, , ,
2018-08-21 19:56:58,0.51,99.98,0.51, , ,
2018-08-21 20:56:58,0.55,99.98,0.55, , ,
2018-08-21 21:56:58,0.47,99.98,0.46, , ,
2018-08-21 22:56:58,0.47,99.98,0.46, , ,
2018-08-21 23:56:58,0.43,99.98,0.42, , ,
2018-08-22 00:56:58,0.34,99.98,0.33, , ,
2018-08-22 01:56:58,0.34,99.98,0.33, , ,
2018-08-22 02:56:58,0.30,99.98,0.29, , ,
2018-08-22 03:56:58,0.34,99.98,0.33, , ,
2018-08-22 04:56:58,0.25,99.98,0.25, , ,
2018-08-22 05:56:58,0.30,99.98,0.29, , ,
2018-08-22 06:56:58,0.25,99.98,0.25, , ,
2018-08-22 07:56:58,0.25,99.98,0.25, , ,
2018-08-22 08:56:58,0.34,99.98,0.33, , ,
2018-08-22 09:56:58,0.34,99.98,0.33, , ,
2018-08-22 10:56:58,0.43,99.98,0.42, , ,
2018-08-22 11:56:58,0.43,99.98,0.42, , ,
2018-08-22 12:56:58,0.51,99.98,0.51, , ,
2018-08-22 13:56:58,0.51,99.98,0.51, , ,
2018-08-22 14:56:58,0.51,99.98,0.51, , ,
2018-08-22 15:56:58,0.55,99.98,0.55, , ,
2018-08-22 16:56:58,0.60,99.98,0.59, , ,
2018-08-22 17:56:58,0.60,99.98,0.59, , ,
2018-08-22 18:56:58,0.60,99.98,0.59, , ,
2018-08-22 19:56:58,0.55,99.98,0.55, , ,
2018-08-22 20:56:58,0.55,99.98,0.55, , ,
2018-08-22 21:56:58,0.47,99.98,0.46, , ,
2018-08-22 22:56:58,0.43,99.98,0.42, , ,
2018-08-22 23:56:58,0.38,99.98,0.38, , ,
2018-08-23 00:56:58,0.43,99.98,0.42, , ,
2018-08-23 01:56:58,0.47,99.98,0.46, , ,
2018-08-23 02:56:58,0.47,99.98,0.46, , ,
2018-08-23 03:56:58,0.51,99.98,0.51, , ,
2018-08-23 04:56:58,0.34,99.98,0.33, , ,
2018-08-23 05:56:58,0.47,99.98,0.46, , ,
2018-08-23 06:56:58,0.47,99.98,0.46, , ,
2018-08-23 07:56:58,0.43,99.98,0.42, , ,
2018-08-23 08:56:58,0.34,99.98,0.33, , ,
2018-08-23 09:56:58,0.43,99.98,0.42, , ,
2018-08-23 10:56:58,0.47,99.98,0.46, , ,
2018-08-23 11:56:58,0.55,99.98,0.55, , ,
2018-08-23 12:56:58,0.51,99.98,0.51, , ,
2018-08-23 13:56:58,0.47,99.98,0.46, , ,
2018-08-23 14:56:58,0.51,99.98,0.51, , ,
2018-08-23 15:56:58,0.60,99.98,0.59, , ,
2018-08-23 16:56:58,0.51,99.98,0.51, , ,
2018-08-23 17:56:58,0.55,99.98,0.55, , ,
2018-08-23 18:56:58,0.47,99.98,0.46, , ,
2018-08-23 19:56:58,0.47,99.98,0.46, , ,
2018-08-23 20:56:58,0.47,99.98,0.46, , ,
2018-08-23 21:56:58,0.43,99.98,0.42, , ,
2018-08-23 22:56:58,0.43,99.98,0.42, , ,
2018-08-23 23:56:58,0.38,99.98,0.38, , ,
2018-08-24 00:56:58,0.38,99.98,0.38, , ,
2018-08-24 01:56:58,0.34,99.98,0.33, , ,
2018-08-24 02:56:58,0.43,99.98,0.42, , ,
2018-08-24 03:56:58,0.43,99.98,0.42, , ,
2018-08-24 04:56:58,0.38,99.98,0.38, , ,
2018-08-24 05:56:58,0.38,99.98,0.38, , ,
2018-08-24 06:56:58,0.38,99.98,0.38, , ,
2018-08-24 07:56:58,0.47,99.98,0.46, , ,
2018-08-24 08:56:58,0.47,99.98,0.46, , ,
2018-08-24 09:56:58,0.47,99.98,0.46, , ,
2018-08-24 10:56:58,0.47,99.98,0.46, , ,
2018-08-24 11:56:58,0.43,99.98,0.42, , ,
2018-08-24 12:56:58,0.47,99.98,0.46, , ,
2018-08-24 13:56:58,0.43,99.98,0.42, , ,
2018-08-24 14:56:58,0.47,99.98,0.46, , ,
2018-08-24 15:56:58,0.43,99.98,0.42, , ,
2018-08-24 16:56:58,0.43,99.98,0.42, , ,
2018-08-24 17:56:58,0.38,99.98,0.38, , ,
2018-08-24 18:56:58,0.43,99.98,0.42, , ,
2018-08-24 19:56:58,0.30,99.98,0.29, , ,
2018-08-24 20:56:58,0.38,99.98,0.38, , ,
2018-08-24 21:56:58,0.43,99.98,0.42, , ,
2018-08-24 22:56:58,0.43,99.98,0.42, , ,
2018-08-24 23:56:58,0.38,99.98,0.38, , ,
2018-08-25 00:56:58,0.38,99.98,0.38, , ,
2018-08-25 01:56:58,0.34,99.98,0.33, , ,
2018-08-25 02:56:58,0.43,99.98,0.42, , ,
2018-08-25 03:56:58,0.43,99.98,0.42, , ,
2018-08-25 04:56:58,0.43,99.98,0.42, , ,
2018-08-25 05:56:58,0.43,99.98,0.42, , ,
2018-08-25 06:56:58,0.38,99.98,0.38, , ,
2018-08-25 07:56:58,0.43,99.98,0.42, , ,
2018-08-25 08:56:58,0.38,99.98,0.38, , ,
2018-08-25 09:56:58,0.38,99.98,0.38, , ,
2018-08-25 10:56:58,0.30,99.98,0.29, , ,
2018-08-25 11:56:58,0.25,99.98,0.25, , ,
2018-08-25 12:56:58,0.34,99.98,0.33, , ,
2018-08-25 13:56:58,0.34,99.98,0.33, , ,
2018-08-25 14:56:58,0.34,99.98,0.33, , ,
2018-08-25 15:56:58,0.34,99.98,0.33, , ,
2018-08-25 16:56:58,0.38,99.98,0.38, , ,
2018-08-25 17:56:58,0.38,99.98,0.38, , ,
2018-08-25 18:56:58,0.34,99.98,0.33, , ,
2018-08-25 19:56:58,0.30,99.98,0.29, , ,
2018-08-25 20:56:58,0.30,99.98,0.29, , ,
2018-08-25 21:56:58,0.34,99.98,0.33, , ,
2018-08-25 22:56:58,0.34,99.98,0.33, , ,
2018-08-25 23:56:58,0.34,99.98,0.33, , ,
2018-08-26 00:56:58,0.30,99.98,0.29, , ,
2018-08-26 01:56:58,0.34,99.98,0.33, , ,
2018-08-26 02:56:58,0.38,99.98,0.38, , ,
2018-08-26 03:56:58,0.38,99.98,0.38, , ,
2018-08-26 04:56:58,0.30,99.98,0.29, , ,
2018-08-26 05:56:58,0.30,99.98,0.29, , ,
2018-08-26 06:56:58,0.21,99.98,0.20, , ,
2018-08-26 07:56:58,0.25,99.98,0.25, , ,
2018-08-26 08:56:58,0.25,99.98,0.25, , ,
2018-08-26 09:56:58,0.25,99.98,0.25, , ,
2018-08-26 10:56:58,0.25,99.98,0.25, , ,
2018-08-26 11:56:58,0.25,99.98,0.25, , ,
2018-08-26 12:56:58,0.30,99.98,0.29, , ,
2018-08-26 13:56:58,0.30,99.98,0.29, , ,
2018-08-26 14:56:58,0.25,99.98,0.25, , ,
2018-08-26 15:56:58,0.25,99.98,0.25, , ,
2018-08-26 16:56:58,0.21,99.98,0.20, , ,
2018-08-26 17:56:58,0.21,99.98,0.20, , ,
2018-08-26 18:56:58,0.21,99.98,0.20, , ,
2018-08-26 19:56:58,0.17,99.98,0.16, , ,
2018-08-26 20:56:58,0.21,99.98,0.20, , ,
2018-08-26 21:56:58,0.17,99.98,0.16, , ,
2018-08-26 22:56:58,0.21,99.98,0.20, , ,
2018-08-26 23:56:58,0.13,99.98,0.12, , ,
2018-08-27 00:56:58,0.17,99.98,0.16, , ,
2018-08-27 01:56:58,0.17,99.98,0.16, , ,
2018-08-27 02:56:58,0.13,99.98,0.12, , ,
2018-08-27 03:56:58,0.17,99.98,0.16, , ,
2018-08-27 04:56:58,0.25,99.98,0.25, , ,
2018-08-27 05:56:58,0.17,99.98,0.16, , ,
2018-08-27 06:56:58,0.21,99.98,0.20, , ,
2018-08-27 07:56:58,0.21,99.98,0.20, , ,
2018-08-27 08:56:58,0.21,99.98,0.20, , ,
2018-08-27 09:56:58,0.21,99.98,0.20, , ,
2018-08-27 10:56:58,0.17,99.98,0.16, , ,
2018-08-27 11:56:58,0.21,99.98,0.20, , ,
2018-08-27 12:56:58,0.25,99.98,0.25, , ,
2018-08-27 13:56:58,0.17,99.98,0.16, , ,
2018-08-27 14:56:58,0.34,99.98,0.33, , ,
2018-08-27 15:56:58,0.38,99.98,0.38, , ,
2018-08-27 16:56:58,0.51,99.98,0.51, , ,
2018-08-27 17:56:58,0.38,99.98,0.38, , ,
2018-08-27 18:56:58,0.47,99.98,0.46, , ,
2018-08-27 19:56:58,0.47,99.98,0.46, , ,
2018-08-27 20:56:58,0.43,99.98,0.42, , ,
2018-08-27 21:56:58,0.47,99.98,0.46, , ,
2018-08-27 22:56:58,0.55,99.98,0.55, , ,
2018-08-27 23:56:58,0.51,99.98,0.51, , ,
2018-08-28 00:56:58,0.43,99.98,0.42, , ,
2018-08-28 01:56:58,0.60,99.98,0.59, , ,
2018-08-28 02:56:58,0.55,99.98,0.55, , ,
2018-08-28 03:56:58,0.30,99.98,0.29, , ,
2018-08-28 04:56:58,0.51,99.98,0.51, , ,
2018-08-28 05:56:58,0.30,99.98,0.29, , ,
